序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,振幅,昨日封板时间,昨日连板数,涨停统计,所属行业
1,002965,祥鑫科技,3.6885247230529785,50.6,53.68,1780588816,7728296782.8,10332957082.800001,22.98341941833496,0.8168958425521851,10.983606338500977,111221,1,2/1,通用设备
2,002905,金逸影视,-1.2706480026245117,7.77,8.66,183490332,2715148800.0,2924006400.0,6.805118560791016,0.7782101035118103,4.955527305603027,093033,1,2/1,文化传媒
3,603578,三星新材,-1.2345678806304932,12.8,14.26,119454090,2308570009.6,2308570009.6,5.040021896362305,0.31347960233688354,7.793209552764893,093722,1,2/1,家电行业
4,600114,东睦股份,2.6289682388305664,20.69,22.18,1675418176,12752974139.130001,12752974035.68,13.250053405761719,0.2908385694026947,5.059524059295654,144022,1,2/1,通用设备
5,002815,崇达技术,-0.5993150472640991,11.61,12.85,1236007456,7440205968.54,12553329775.68,16.469146728515625,0.2590673565864563,4.023972511291504,094148,1,2/1,电子元件
6,002600,领益智造,3.991811752319336,10.16,10.75,7361044736,70038340918.72,71203087667.2,10.504796028137207,0.19723865389823914,5.936540126800537,095536,1,2/1,消费电子
7,002122,汇洲智能,9.979209899902344,5.29,5.29,3070283104,10515120996.02,10582516685.76,30.743125915527344,0.18939393758773804,13.097712516784668,093439,2,18/9,通用设备
8,603311,金海高科,-1.135371208190918,11.32,12.6,159928857,2670205827.2400002,2670205827.2400002,6.087568759918213,0.17699114978313446,4.454148769378662,093418,1,2/1,家电行业
9,605055,迎丰股份,1.0676156282424927,5.68,6.18,187439618,2499200000.0,2499200000.0,7.0847272872924805,0.17636683583259583,9.964412689208984,112605,1,2/1,纺织服装
10,603305,旭升集团,3.538282871246338,17.85,18.96,1326907600,16658185845.000002,16658185773.6,7.924816608428955,0.16835016012191772,4.814385414123535,102401,1,2/1,汽车零部
11,003021,兆威机电,0.5851638317108154,111.73,122.19,1953078752,23038410921.4,26837937055.0,8.516894340515137,0.14340773224830627,6.418797492980957,142733,1,2/1,电机
12,832876,慧为智能,5.701591968536377,28.55,35.11,377524384,1091257913.7,1832357814.45,35.091796875,0.10518934577703476,26.212512969970703,111321,1,2/1,消费电子
13,002913,奥士康,1.6294721364974976,28.69,31.05,862490880,7336118324.06,9105073089.28,11.603594779968262,0.10467550158500671,8.041090965270996,145442,1,2/1,电子元件
14,603278,大业股份,1.25,9.72,10.56,520951712,3321901290.2400002,3321901290.2400002,15.699796676635742,0.10298661887645721,6.875,094143,1,2/1,通用设备
15,600889,南京化纤,1.7948719263076782,19.85,21.45,1224306880,7271968298.500001,7271968417.6,16.59430503845215,0.10085728764533997,5.076923370361328,095309,1,2/1,化纤行业
16,002126,银轮股份,4.277828693389893,22.67,23.91,1583248384,17774104258.530003,18920396871.52,8.947596549987793,0.08830022066831589,6.807727336883545,140000,1,2/1,汽车零部
17,603066,音飞储存,0.7048458456993103,11.43,12.49,299860944,3362478245.8199997,3362478314.4,8.858302116394043,0.08756567537784576,4.933920860290527,100516,1,2/1,物流行业
18,603786,科博达,5.135729789733887,71.65,74.97,340123600,28831107365.000004,28938740281.600002,1.176490306854248,0.06983239948749542,7.7329421043396,145015,1,2/1,汽车零部
19,002009,天奇股份,0.06443298608064651,15.53,17.07,1178421360,6220145593.71,6246681596.0,18.88962745666504,0.06443298608064651,4.123711109161377,094148,1,2/1,专用设备
20,002576,通达动力,0.8838383555412292,15.98,17.42,537555984,2589200584.58,2638298000.0,20.43163299560547,0.06261740624904633,6.628787517547607,130606,1,2/1,电机
21,002594,比亚迪,5.085508346557617,326.9,342.19,15691988992,380007361980.39996,951039008326.3999,4.190047740936279,0.05203072726726532,5.14337158203125,143048,1,2/1,汽车整车
22,603280,南方路机,-3.857201337814331,23.43,26.81,243539938,654673257.81,2539968207.81,37.0145378112793,0.04269854724407196,4.390644073486328,132734,1,2/1,专用设备
23,603197,保隆科技,4.313443660736084,43.53,45.9,1042356752,9194880902.880001,9232305820.380001,11.2546968460083,0.02297794073820114,5.104241371154785,144553,1,2/1,汽车零部
24,000810,创维数字,3.719912528991699,14.22,15.08,1845419136,15892153248.78,16356072657.6,11.608147621154785,0.0,5.251641273498535,112439,1,2/1,通信设备
25,000818,航锦科技,9.990157127380371,22.35,22.35,2813034576,15139161390.000002,15179136600.000002,18.993371963500977,0.0,6.545275688171387,092500,3,4/4,化学原料
26,000868,安凯客车,4.651162624359131,6.3,6.62,803281712,4619969033.4,5918942836.8,17.419742584228516,0.0,8.637873649597168,130148,1,2/1,汽车整车
27,001368,通达创智,9.995414733886719,23.99,23.99,238847070,760374445.25,2739048654.0,31.60116958618164,0.0,4.034846305847168,112121,1,2/2,塑料制品
28,002036,联创电子,10.049261093139648,11.17,11.17,321588416,11764308908.87,11833165580.8,2.733593702316284,0.0,0.0,130333,1,2/2,光学光电
29,002123,梦网科技,10.0,14.19,14.19,1888688912,10149239991.0,11360371645.92,19.06618881225586,0.0,11.705426216125488,134712,2,3/3,通信服务
30,002213,大为股份,9.987894058227539,18.17,18.17,1267176096,3742926678.88,4309106350.0,34.11323165893555,0.0,5.205811023712158,131842,2,3/3,半导体
31,002261,拓维信息,9.985315322875977,22.47,22.47,5583992832,25340852541.059998,28223522234.879997,22.441316604614258,0.0,6.999510765075684,101130,2,3/3,软件开发
32,002284,亚太股份,2.3385300636291504,9.19,9.88,1024585744,6719858249.87,6792332234.879999,15.178598403930664,0.0,5.790646076202393,142454,1,2/1,汽车零部
33,002354,天娱数科,-0.8130080699920654,7.32,8.12,4920052480,11846475588.24,12111568231.68,40.24901580810547,0.0,11.653116226196289,101448,2,3/2,互联网服
34,002387,维信诺,2.566633701324463,10.39,11.14,760923328,14492046402.79,14512851910.240002,5.292975902557373,0.0,4.24481725692749,143515,1,2/1,光学光电
35,002403,爱仕达,1.686340570449829,18.09,19.57,1150517232,5375650702.86,6162151839.84,21.274682998657227,0.0,5.621135711669922,132309,1,2/1,家电行业
36,002413,雷科防务,3.7117903232574463,4.75,5.04,638891968,5940008299.25,6255700752.0,10.950557708740234,0.0,6.768558979034424,143851,1,2/1,通信设备
37,002448,中原内配,10.013908386230469,7.91,7.91,1305730912,3851194364.78,4654320315.68,34.456295013427734,0.0,5.980528354644775,130927,1,2/2,汽车零部
38,002520,日发精机,9.984151840209961,6.94,6.94,191205120,4979034786.740001,5206701465.92,3.8402044773101807,0.0,0.0,093154,1,2/2,通用设备
39,002526,山东矿机,3.1476995944976807,4.26,4.54,1969773792,7487011207.679999,7594701758.4,26.14792251586914,0.0,6.053268909454346,105227,1,2/1,专用设备
40,002530,金财互联,-3.167062520980835,12.23,13.89,3292098112,8501358374.820001,9529593692.48,37.67962646484375,0.0,10.926365852355957,105227,1,5/3,互联网服
41,002577,雷柏科技,10.023529052734375,23.38,23.38,801928848,6613383700.0,6613734400.0,12.441717147827148,0.0,6.964705944061279,093545,1,2/2,消费电子
42,002691,冀凯股份,9.990108489990234,11.12,11.12,978577856,3736100991.6,3780799999.9999995,26.612316131591797,0.0,9.891197204589844,094115,3,13/11,专用设备
43,002779,中坚科技,6.283088684082031,106.4,110.12,802712848,12601433460.0,14044800000.0,6.559455394744873,0.0,11.986814498901367,131951,1,2/1,专用设备
44,002881,美格智能,10.002053260803223,53.56,53.56,28122749,9697560424.24,14022106764.640001,0.2899981737136841,0.0,0.0,092500,4,5/5,消费电子
45,002906,华阳集团,0.9473060965538025,34.1,37.16,1192417376,17890128622.3,17896588969.600002,6.6326212882995605,0.0,4.647720813751221,144745,1,2/1,汽车零部
46,002920,德赛西威,6.633671283721924,133.58,137.8,3012134640,73890108011.24,74131481995.20001,4.166494369506836,0.0,5.883292198181152,143706,1,2/1,汽车零部
47,002979,雷赛智能,-0.7259073853492737,39.66,43.95,1289699296,8596533362.279999,12164166191.999998,14.8572359085083,0.0,5.907384395599365,105809,1,2/1,专用设备
48,300211,亿通科技,-2.1450459957122803,9.58,11.75,669311104,2859455873.92,2911646794.2400002,22.504968643188477,0.0,10.929519653320312,093857,1,2/1,通信服务
49,300382,斯莱克,4.792851448059082,12.9,14.77,1006239856,8042588140.5,8045114928.0,12.658150672912598,0.0,8.935824394226074,094315,1,2/1,专用设备
50,300718,长盛轴承,8.009896278381348,69.85,77.6,4136712704,13541416675.05,20869714826.399998,31.438369750976562,0.0,15.447656631469727,145627,1,2/1,工程机械
51,300766,每日互动,15.100865364074707,39.94,41.64,7230998784,14205581137.72,15663379714.88,52.387935638427734,0.0,16.570606231689453,093033,3,4/3,互联网服
52,300790,宇瞳光学,16.338027954101562,28.91,29.82,3505703984,8641647133.91,10815779596.16,40.86860656738281,0.0,9.818913459777832,130124,1,2/1,光学光电
53,301261,恒工精密,2.9950082302093506,61.9,72.12,734333536,2345403132.4,5440403132.4,32.513614654541016,0.0,9.467554092407227,133306,1,2/1,通用设备
54,301488,豪恩汽电,3.5025458335876465,67.08,77.77,737365936,1570678200.0,6171360000.0,46.24702072143555,0.0,8.008023262023926,143636,1,2/1,汽车零部
55,600120,浙江东方,10.064934730529785,6.78,6.78,4876387328,23156286515.760002,23156286488.64,21.092744827270508,0.0,2.9220778942108154,092501,3,4/4,多元金融
56,600126,杭钢股份,10.015897750854492,6.92,6.92,95059611,23370148454.36,23370148488.96,0.40675655007362366,0.0,0.0,092503,2,3/3,钢铁行业
57,600186,莲花控股,9.966216087341309,6.51,6.51,3302496576,11631484970.91,11682664657.44,29.057048797607422,0.0,8.61486530303955,101759,1,2/2,食品饮料
58,600206,有研新材,2.1403090953826904,17.18,18.5,2236525648,14543786243.76,14543786175.039999,15.418947219848633,0.0,4.102259159088135,133511,1,2/1,小金属
59,600355,精伦电子,10.059171676635742,3.72,3.72,280504736,1830571824.0,1830571824.0,15.59717082977295,0.0,9.171597480773926,132541,2,3/3,通信设备
60,600595,中孚实业,5.621301651000977,3.57,3.72,984295840,14308221256.98,14313665499.84,7.1430535316467285,0.0,10.650887489318848,095637,1,2/1,有色金属
61,600633,浙数文化,10.040485382080078,13.59,13.59,303025744,17233132074.48,17233132183.2,1.7583904266357422,0.0,0.0,094839,2,3/3,游戏
62,603110,东方材料,9.977324485778809,19.4,19.4,1128525776,3903798600.7999997,3903798600.7999997,29.785903930664062,0.0,11.451247215270996,093001,2,3/3,化学制品
63,603150,万朗磁塑,10.0,32.34,32.34,427080336,1730719729.2000003,2764520220.0000005,24.83293914794922,0.0,4.931972980499268,130519,1,2/2,塑料制品
64,603297,永新光学,7.726005554199219,108.2,110.48,649140752,11980888620.0,12026484100.0,5.51243257522583,0.0,6.123058319091797,143351,1,2/1,光学光电
65,603300,海南华铁,10.033445358276367,6.58,6.58,447345328,12981076580.78,12981076534.72,3.446134328842163,0.0,0.0,130022,1,2/2,专用设备
66,603390,通达电气,10.039369583129883,11.18,11.18,33837388,3910263862.7,3931692781.12,0.8653479218482971,0.0,0.0,130030,1,2/2,汽车零部
67,603583,捷昌驱动,4.81493616104126,32.0,33.58,1267152736,12231902560.0,12270609920.0,10.475337982177734,0.0,8.778250694274902,134252,1,2/1,专用设备
68,603920,世运电路,9.98810863494873,37.0,37.0,2280406784,26618235749.0,26618235712.0,8.697677612304688,0.0,6.510107040405273,132836,1,2/2,电子元件
69,605398,新炬网络,10.00592041015625,37.16,37.16,43799935,6046540643.639999,6046540643.639999,0.7243800759315491,0.0,0.0,093323,6,16/8,互联网服
70,688023,安恒信息,7.451231002807617,67.2,75.05,1540375312,6858804624.0,6872705011.200001,23.339319229125977,0.0,22.67348861694336,112942,2,3/2,软件开发
71,688058,宝兰德,4.3416972160339355,37.01,42.56,330318544,2876821978.37,2876821978.37,11.44638729095459,0.0,15.33690357208252,103623,1,2/1,软件开发
72,688158,优刻得-W,19.97991943359375,23.9,23.9,620859232,9614107401.199999,10828972603.199999,6.457793712615967,0.0,0.0,092501,2,3/3,互联网服
73,688316,青云科技-U,19.99592399597168,58.87,58.87,120538562,2116036231.3999999,2813967632.56,5.696431636810303,0.0,0.0,092501,2,3/3,互联网服
74,688343,云天励飞-U,-0.03091667965054512,64.67,77.63,3694914176,16675832908.710001,22966498189.760002,21.382614135742188,0.0,9.692378997802734,102148,1,2/1,软件开发
75,688392,骄成超声,-1.8090671300888062,45.05,55.06,250693992,3145335183.0499997,5171740000.0,7.858733177185059,0.0,3.9450743198394775,105408,1,2/1,专用设备
76,688620,安凯微,5.058365821838379,18.9,21.59,2172471040,4316732028.0,7408799999.999999,47.98374557495117,0.0,17.231794357299805,094554,2,3/2,半导体
77,839946,华阳变速,29.96346092224121,10.67,10.67,463155472,1062065125.0,1440348026.81,47.353450775146484,0.0,25.334957122802734,143345,1,2/2,汽车零部
78,603893,瑞芯微,0.14475660026073456,186.79,205.17,6140324096,78207871125.79,78246629864.0,7.663593292236328,-0.005353318993002176,10.561869621276855,141950,1,2/1,半导体
79,603486,科沃斯,3.296250581741333,50.14,53.39,1212083552,28539769577.78,28845302932.48,4.22369909286499,-0.019940178841352463,4.223320960998535,105027,1,2/1,家电行业
80,603171,税友股份,-3.896787643432617,36.5,41.78,378009936,14814985000.0,14846858552.0,2.5272364616394043,-0.0547645166516304,6.029489040374756,145652,1,2/1,互联网服
81,605555,德昌股份,2.0809686183929443,26.98,29.07,610824064,3661143236.7000003,10046294384.0,16.83489990234375,-0.07407407462596893,7.983352184295654,135226,1,2/1,家电行业
82,600967,内蒙一机,2.2564101219177246,9.97,10.73,952347904,16938166966.890001,16966892879.84,5.629826545715332,-0.10020039975643158,4.307692050933838,112227,1,2/1,交运设备
83,002664,信质集团,-0.531286895275116,16.85,18.63,913425440,6769212642.8,6863975560.000001,13.553767204284668,-0.11855365335941315,5.667060375213623,093721,1,2/1,汽车零部
84,600593,大连圣亚,-1.3333333730697632,30.34,33.83,395946016,3907792000.0,3907792000.0,10.103231430053711,-0.1645278036594391,5.626016139984131,110725,1,2/1,旅游酒店
85,000532,华金资本,4.635387420654297,18.51,19.46,1856915344,6359105798.460001,6380551299.360001,29.44109344482422,-0.21563342213630676,13.510457992553711,095539,3,4/3,综合行业
86,000972,中基健康,3.0219781398773193,3.75,4.0,435234880,2892313421.25,2892313440.0,14.413918495178223,-0.26595744490623474,6.8681321144104,092500,2,4/3,食品饮料
87,603166,福达股份,9.297724723815918,11.05,11.12,1247114448,7061045593.55,7140605648.8,18.13725471496582,-0.27075812220573425,8.1107816696167,131400,1,2/1,汽车零部
88,603728,鸣志电器,4.230208396911621,78.6,82.95,2332294208,32924164499.999996,32924164185.6,7.171811103820801,-0.48113447427749634,6.2591166496276855,094126,2,3/2,电机
89,003015,日久光电,-1.9196159839630127,16.35,18.34,1306322608,4059134123.4000006,4595440087.200001,31.850187301635742,-0.5474452376365662,7.498500347137451,094827,1,4/2,光学光电
90,603596,伯特利,7.6658830642700195,59.55,60.84,2325932976,36105005406.0,36119803819.2,6.519112586975098,-0.5843071937561035,7.792442321777344,132054,2,3/2,汽车零部
