股票名称,涨跌幅,所属板块名称,市场代码,现价,市场缩写,排名变化,市场,综合热度
四川长虹,+10.04%,黑色家电,600839,10.52,SH,0,ab,1324183
岩山科技,-0.21%,IT服务Ⅱ,002195,4.65,SZ,0,ab,1091268
汇洲智能,+9.98%,通用设备,002122,5.29,SZ,9,ab,994076
山子高科,+5.56%,汽车零部件,000981,2.28,SZ,0,ab,788373
东方智造,+10.00%,通用设备,002175,5.28,SZ,24,ab,759617
万  科Ａ,+5.70%,房地产开发,000002,7.42,SZ,19,ab,745310
华映科技,+10.11%,光学光电子,000536,4.9,SZ,0,ab,633716
视觉中国,+3.55%,数字媒体,000681,26.51,SZ,5,ab,621799
奋达科技,+2.63%,消费电子,002681,7.81,SZ,8,ab,592359
东方精工,+1.06%,专用设备,002611,12.45,SZ,0,ab,589101
海能达,+4.49%,通信设备,002583,13.49,SZ,27,ab,584090
电光科技,+2.99%,专用设备,002730,22.08,SZ,-5,ab,576638
江淮汽车,+5.46%,商用车,600418,41.93,SH,6,ab,566395
瑞芯微  ,+0.14%,半导体,603893,186.79,SH,0,ab,564350
省广集团,+0.46%,广告营销,002400,8.82,SZ,3,ab,555745
华金资本,+4.64%,多元金融,000532,18.51,SZ,32,ab,543660
沃尔核材,+1.73%,其他电子Ⅱ,002130,24.05,SZ,0,ab,509177
中信证券,+2.81%,证券Ⅱ,600030,28.14,SH,0,ab,507573
东华软件,+8.19%,IT服务Ⅱ,002065,8.45,SZ,0,ab,497542
卓翼科技,+10.06%,消费电子,002369,7.55,SZ,0,ab,492589
冀凯股份,+9.99%,专用设备,002691,11.12,SZ,19,ab,485740
梦网科技,+10.00%,通信服务,002123,14.19,SZ,-1,ab,479747
飞利信,+2.81%,IT服务Ⅱ,300287,5.86,SZ,-14,ab,477310
长电科技,-0.85%,半导体,600584,41.92,SH,0,ab,473961
欧菲光,+3.04%,光学光电子,002456,13.2,SZ,0,ab,468133
川发龙蟒,+3.00%,农化制品,002312,13.72,SZ,0,ab,462868
中际旭创,+6.71%,通信设备,300308,107.78,SZ,0,ab,453012
岭南股份,-0.90%,基础建设,002717,3.29,SZ,14,ab,449587
汉得信息,-4.07%,IT服务Ⅱ,300170,20.27,SZ,0,ab,444028
康美药业,+0.88%,中药Ⅱ,600518,2.29,SH,-2,ab,443565
首都在线,+20.03%,IT服务Ⅱ,300846,18.52,SZ,0,ab,440444
神州数码,+10.01%,IT服务Ⅱ,000034,39.88,SZ,0,ab,435530
长盛轴承,+8.01%,通用设备,300718,69.85,SZ,-13,ab,428255
卫宁健康,+16.19%,软件开发,300253,9.26,SZ,0,ab,423779
中国联通,+1.95%,通信服务,600050,5.23,SH,0,ab,421295
隆基绿能,+5.18%,光伏设备,601012,16.23,SH,0,ab,414798
二六三,+2.53%,通信服务,002467,6.49,SZ,0,ab,401477
天风证券,+3.07%,证券Ⅱ,601162,4.36,SH,0,ab,394242
建设工业,0.00%,汽车零部件,002265,28.58,SZ,-15,ab,386375
长盈精密,+1.69%,消费电子,300115,22.29,SZ,0,ab,375523
南威软件,+2.79%,IT服务Ⅱ,603636,14.39,SH,6,ab,369090
豆神教育,-2.79%,教育,300010,8.35,SZ,-5,ab,368798
华天科技,+0.60%,半导体,002185,11.74,SZ,0,ab,366709
好想你,+0.47%,休闲食品,002582,8.59,SZ,-10,ab,353640
金奥博,-0.73%,化学制品,002917,15.06,SZ,0,ab,347154
爱尔眼科,+3.15%,医疗服务,300015,13.11,SZ,0,ab,344530
紫金矿业,+1.90%,工业金属,601899,16.62,SH,0,ab,337858
精伦电子,+10.06%,通信设备,600355,3.72,SH,0,ab,336425
云内动力,+9.93%,汽车零部件,000903,2.99,SZ,0,ab,335036
福日电子,+8.63%,消费电子,600203,9.82,SH,0,ab,334162
