序号,交易营业部名称,买入金额,买入金额-占总成交比例,卖出金额,卖出金额-占总成交比例,净额,类型
1,东亚前海证券有限责任公司上海分公司,0,0.0,29691600,0.02283482726,-29691600,日涨幅偏离值达到7%的前5只证券
2,中信证券股份有限公司北京安外大街证券营业部,167909,0.000129133257,23594899,0.018146056221,-23426990,日涨幅偏离值达到7%的前5只证券
3,湘财证券股份有限公司杭州解放东路证券营业部,0,0.0,19863049,0.015276013848,-19863049,日涨幅偏离值达到7%的前5只证券
4,华鑫证券有限责任公司上海淞滨路证券营业部,1279906,0.000984333361,17193896,0.01322325658,-15913990,日涨幅偏离值达到7%的前5只证券
5,中信证券（山东）有限责任公司胶州湖州路证券营业部,7130,5.483447e-06,15273021,0.011745975167,-15265891,日涨幅偏离值达到7%的前5只证券
6,东亚前海证券有限责任公司上海分公司,26994613,0.019278226452,29691600,0.021204282073,-2696987,连续三个交易日内，涨幅偏离值累计达到20%的证券
7,中信证券股份有限公司北京安外大街证券营业部,167909,0.000119912359,23594899,0.016850317729,-23426990,连续三个交易日内，涨幅偏离值累计达到20%的证券
8,湘财证券股份有限公司杭州解放东路证券营业部,0,0.0,19863049,0.014185213792,-19863049,连续三个交易日内，涨幅偏离值累计达到20%的证券
9,华鑫证券有限责任公司上海淞滨路证券营业部,1279906,0.000914045988,17313906,0.012364741092,-16034000,连续三个交易日内，涨幅偏离值累计达到20%的证券
10,中信证券（山东）有限责任公司胶州湖州路证券营业部,7130,5.091896e-06,15288295,0.010918149227,-15281165,连续三个交易日内，涨幅偏离值累计达到20%的证券
